Month,BioVol,Tow,Date,Filtered_BioVol
May,0.1,200,5/29/2024,0.000001273705278
May,1.4,700,5/29/2024,0.000001273705278
June,0.6,700,6/4/2024,0.000007291448709
June,1.6,200,6/4/2024,0.00001944386323
June,12,700,6/13/2024,0.00001254193049
June,2,200,6/13/2024,0.00001871601809
June,0.5,700,6/20/2024,0.0000003616092486
June,2.5,200,6/20/2024,0.00003224719331
June,4,700,6/27/24,0.000003305426144
June,6,200,6/27/24,0.00008774110983
July,10,700,7/2/2024,0.000009496821682
July,7,200,7/2/2024,0.00005994926836
July,1,700,7/9/2024,0.0000007777545293
July,6,200,7/9/2024,0.00008774110983
July,3,700,7/16/2024,0.000003470588192
July,5,200,7/16/2024,0.0000467067889
July,16,700,7/23/2024,0.00008841840962
July,19,200,7/23/2024,0.0001275537319
July,1.5,700,7/30/2024,0.000001690589224
July,4,200,7/30/2024,0.000041014399
August,1.4,700,8/6/2024,0.000001118347581
August,8,200,8/6/2024,0.00007806458099
August,1,700,8/13/2024,0.000001060574358
August,1.5,200,8/13/2024,0.00001726922063
August,1,700,8/21/2024,0.0000008032195643
August,10,200,8/21/2024,0.0001021370247
August,1,700,8/27/2024,0.0000007341411091
August,10,200,8/27/2024,0.00009391490286
September,0.2,700,9/3/2024,0.0000001780513167
September,2,200,9/3/2024,0.00001426587791
September,1,700,9/11/2024,0.0000007065737645
September,6,200,9/11/2024,0.00004743834101
September,2,700,9/18/2024,1501759.175
September,2,200,9/18/2024,0.00002692227216
