 ,Date,Count,Count_Filtered,Site,Tow,Salinity,Temperature,BioVol,Volume_Filtered,BioVol_Filtered,
Gammarus_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Hyperia_galba,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Acartia_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Calanus_sp,5/22/2024,4,0.000004158291542,Ram,700,29.73,8.75,NA,961933.5152,NA,
Centropages_hamatus,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Centropages_sp,5/22/2024,2,0.000002079145771,Ram,700,29.73,8.75,NA,961933.5152,NA,
Centropages_typicus,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Copepod_nauplii,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Tigriopus_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Labidocera_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Oithona_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Paracalanus_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Evadne_nordmanni,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Podon_polyphemoides,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Beroe_cucumis,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Ctenophore_fragments,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Mnemiopsis leidyi,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Anapagurus hyndmanni,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Callianassa sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Carcinus_meanas,5/22/2024,148,0.000153856787,Ram,700,29.73,8.75,NA,961933.5152,NA,
Crangon_crangon,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Crangonid_larvae,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Hippolytid_larvae,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Homarus_americanus,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Unidentified_decapod_larvae,5/22/2024,1,0.000001039572885,Ram,700,29.73,8.75,NA,961933.5152,NA,
Unidentified_fish_larvae,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Paralicntnys_dentatus,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Eutima_gracilis,5/22/2024,1,0.000001039572885,Ram,700,29.73,8.75,NA,961933.5152,NA,
Leukartiara_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Obelia_sp,5/22/2024,4,0.000004158291542,Ram,700,29.73,8.75,NA,961933.5152,NA,
Sarsia_tubulosa,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Rathkea_sp,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Barnacle_larvae,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Bivalve_larvae,5/22/2024,0,0,Ram,700,29.73,8.75,NA,961933.5152,NA,
Eggs,5/22/2024,24,0.00002494974925,Ram,700,29.73,8.75,NA,961933.5152,NA,
Bivalve_veliger,5/22/2024,2,0.000002079145771,Ram,700,29.73,8.75,NA,961933.5152,NA,
Gammarus_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Hyperia_galba,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Acartia_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Calanus_sp,5/29/2024,14,0.00001273705278,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Centropages_hamatus,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Centropages_sp,5/29/2024,1,0.000000909789484,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Centropages_typicus,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Copepod_nauplii,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Tigriopus_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Labidocera_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Oithona_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Paracalanus_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Evadne_nordmanni,5/29/2024,7,0.000006368526388,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Podon_polyphemoides,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Beroe_cucumis,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Ctenophore_fragments,5/29/2024,21,0.00001910557916,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Mnemiopsis leidyi,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Anapagurus hyndmanni,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Callianassa sp,5/29/2024,2,0.000001819578968,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Carcinus_meanas,5/29/2024,35,0.00003184263194,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Crangon_crangon,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Crangonid_larvae,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Hippolytid_larvae,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Homarus_americanus,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Unidentified_decapod_larvae,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Unidentified_fish_larvae,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Paralicntnys_dentatus,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Eutima_gracilis,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Leukartiara_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Obelia_sp,5/29/2024,1,0.000000909789484,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Sarsia_tubulosa,5/29/2024,1,0.000000909789484,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Rathkea_sp,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Barnacle_larvae,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Bivalve_larvae,5/29/2024,0,0,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Eggs,5/29/2024,15,0.00001364684226,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Bivalve_veliger,5/29/2024,2,0.000001819578968,Ram,700,29.98,10.24,1.4,1099155.373,0.000001273705278,
Gammarus_sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Hyperia_galba,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Acartia_sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Calanus_sp,6/4/2024,2,0.00002430482903,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Centropages_hamatus,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Centropages_sp,6/4/2024,1,0.00001215241452,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Centropages_typicus,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Copepod_nauplii,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Tigriopus_sp,6/4/2024,1,0.00001215241452,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Labidocera_sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Oithona_sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Paracalanus_sp,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Evadne_nordmanni,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Podon_polyphemoides,6/4/2024,0,0,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Beroe_cucumis,6/4/2024,2,0.00002430482903,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
Ctenophore_fragments,6/4/2024,2,0.00002430482903,Ram,700,29.95,11.62,0.6,82288.17398,0.000007291448709,
